date,item,value
1963-12-31 00:00:00,realgdp,2705.325 
1963-12-31 00:00:00,infl,2.402 
1963-12-31 00:00:00,unemp,5.961 
1964-03-31 00:00:00,realgdp,2783.994 
1964-03-31 00:00:00,infl,2.484 
1964-03-31 00:00:00,unemp,5.428 
1964-06-30 00:00:00,realgdp,2717.518 
1964-06-30 00:00:00,infl,2.555 
1964-06-30 00:00:00,unemp,5.674 
1964-09-30 00:00:00,realgdp,2715.137 
1964-09-30 00:00:00,infl,2.247 
1964-09-30 00:00:00,unemp,5.696 
1964-12-31 00:00:00,realgdp,2771.059 
1964-12-31 00:00:00,infl,2.054 
1964-12-31 00:00:00,unemp,5.126 
1965-03-31 00:00:00,realgdp,2798.046 
1965-03-31 00:00:00,infl,2.397 
1965-03-31 00:00:00,unemp,5.410 
1965-06-30 00:00:00,realgdp,2757.798 
1965-06-30 00:00:00,infl,2.861 
1965-06-30 00:00:00,unemp,5.720 
1965-09-30 00:00:00,realgdp,2709.204 
1965-09-30 00:00:00,infl,2.357 
1965-09-30 00:00:00,unemp,5.866 
1965-12-31 00:00:00,realgdp,2792.402 
1965-12-31 00:00:00,infl,2.580 
1965-12-31 00:00:00,unemp,5.456 
1966-03-31 00:00:00,realgdp,2738.150 
1966-03-31 00:00:00,infl,2.201 
1966-03-31 00:00:00,unemp,5.367 
1966-06-30 00:00:00,realgdp,2793.475 
1966-06-30 00:00:00,infl,2.640 
1966-06-30 00:00:00,unemp,5.255 
1966-09-30 00:00:00,realgdp,2714.572 
1966-09-30 00:00:00,infl,2.061 
1966-09-30 00:00:00,unemp,5.843 
1966-12-31 00:00:00,realgdp,2795.003 
1966-12-31 00:00:00,infl,2.495 
1966-12-31 00:00:00,unemp,5.580 
1967-03-31 00:00:00,realgdp,2742.918 
1967-03-31 00:00:00,infl,2.657 
1967-03-31 00:00:00,unemp,5.976 
1967-06-30 00:00:00,realgdp,2710.623 
1967-06-30 00:00:00,infl,2.767 
1967-06-30 00:00:00,unemp,5.370 
1967-09-30 00:00:00,realgdp,2771.499 
1967-09-30 00:00:00,infl,2.017 
1967-09-30 00:00:00,unemp,5.137 
1967-12-31 00:00:00,realgdp,2708.702 
1967-12-31 00:00:00,infl,2.808 
1967-12-31 00:00:00,unemp,5.034 
1968-03-31 00:00:00,realgdp,2751.361 
1968-03-31 00:00:00,infl,2.677 
1968-03-31 00:00:00,unemp,5.161 
1968-06-30 00:00:00,realgdp,2774.352 
1968-06-30 00:00:00,infl,2.172 
1968-06-30 00:00:00,unemp,5.071 
1968-09-30 00:00:00,realgdp,2738.507 
1968-09-30 00:00:00,infl,2.615 
1968-09-30 00:00:00,unemp,5.862 
1968-12-31 00:00:00,realgdp,2734.928 
1968-12-31 00:00:00,infl,2.072 
1968-12-31 00:00:00,unemp,5.128 
1969-03-31 00:00:00,realgdp,2754.865 
1969-03-31 00:00:00,infl,2.099 
1969-03-31 00:00:00,unemp,5.963 
1969-06-30 00:00:00,realgdp,2779.777 
1969-06-30 00:00:00,infl,2.823 
1969-06-30 00:00:00,unemp,5.136 
1969-09-30 00:00:00,realgdp,2727.183 
1969-09-30 00:00:00,infl,2.682 
1969-09-30 00:00:00,unemp,5.302 
1969-12-31 00:00:00,realgdp,2769.267 
1969-12-31 00:00:00,infl,2.406 
1969-12-31 00:00:00,unemp,5.228 
1970-03-31 00:00:00,realgdp,2728.816 
1970-03-31 00:00:00,infl,2.559 
1970-03-31 00:00:00,unemp,5.662 
1970-06-30 00:00:00,realgdp,2759.985 
1970-06-30 00:00:00,infl,2.386 
1970-06-30 00:00:00,unemp,5.241 
1970-09-30 00:00:00,realgdp,2762.836 
1970-09-30 00:00:00,infl,2.970 
1970-09-30 00:00:00,unemp,5.811 
1970-12-31 00:00:00,realgdp,2731.283 
1970-12-31 00:00:00,infl,2.183 
1970-12-31 00:00:00,unemp,5.110 
1971-03-31 00:00:00,realgdp,2756.266 
1971-03-31 00:00:00,infl,2.598 
1971-03-31 00:00:00,unemp,5.976 
1971-06-30 00:00:00,realgdp,2772.265 
1971-06-30 00:00:00,infl,2.964 
1971-06-30 00:00:00,unemp,5.508 
1971-09-30 00:00:00,realgdp,2790.457 
1971-09-30 00:00:00,infl,2.396 
1971-09-30 00:00:00,unemp,5.786 
1971-12-31 00:00:00,realgdp,2767.720 
1971-12-31 00:00:00,infl,2.285 
1971-12-31 00:00:00,unemp,5.763 
1972-03-31 00:00:00,realgdp,2743.654 
1972-03-31 00:00:00,infl,2.715 
1972-03-31 00:00:00,unemp,5.559 
1972-06-30 00:00:00,realgdp,2785.027 
1972-06-30 00:00:00,infl,2.804 
1972-06-30 00:00:00,unemp,5.684 
1972-09-30 00:00:00,realgdp,2764.095 
1972-09-30 00:00:00,infl,2.993 
1972-09-30 00:00:00,unemp,5.222 
1972-12-31 00:00:00,realgdp,2707.675 
1972-12-31 00:00:00,infl,2.702 
1972-12-31 00:00:00,unemp,5.956 
1973-03-31 00:00:00,realgdp,2762.164 
1973-03-31 00:00:00,infl,2.148 
1973-03-31 00:00:00,unemp,5.221 
1973-06-30 00:00:00,realgdp,2713.817 
1973-06-30 00:00:00,infl,2.406 
1973-06-30 00:00:00,unemp,5.401 
1973-09-30 00:00:00,realgdp,2761.897 
1973-09-30 00:00:00,infl,2.785 
1973-09-30 00:00:00,unemp,5.232 
1973-12-31 00:00:00,realgdp,2764.825 
1973-12-31 00:00:00,infl,2.018 
1973-12-31 00:00:00,unemp,5.321 
1974-03-31 00:00:00,realgdp,2715.966 
1974-03-31 00:00:00,infl,2.459 
1974-03-31 00:00:00,unemp,5.198 
1974-06-30 00:00:00,realgdp,2793.026 
1974-06-30 00:00:00,infl,2.543 
1974-06-30 00:00:00,unemp,5.186 
1974-09-30 00:00:00,realgdp,2721.669 
1974-09-30 00:00:00,infl,2.199 
1974-09-30 00:00:00,unemp,5.876 
1974-12-31 00:00:00,realgdp,2708.742 
1974-12-31 00:00:00,infl,2.658 
1974-12-31 00:00:00,unemp,5.972 
1975-03-31 00:00:00,realgdp,2732.564 
1975-03-31 00:00:00,infl,2.524 
1975-03-31 00:00:00,unemp,5.260 
1975-06-30 00:00:00,realgdp,2739.354 
1975-06-30 00:00:00,infl,2.504 
1975-06-30 00:00:00,unemp,5.742 
1975-09-30 00:00:00,realgdp,2719.767 
1975-09-30 00:00:00,infl,2.541 
1975-09-30 00:00:00,unemp,5.748 
1975-12-31 00:00:00,realgdp,2747.564 
1975-12-31 00:00:00,infl,2.511 
1975-12-31 00:00:00,unemp,5.974 
1976-03-31 00:00:00,realgdp,2744.215 
1976-03-31 00:00:00,infl,2.640 
1976-03-31 00:00:00,unemp,5.641 
1976-06-30 00:00:00,realgdp,2712.323 
1976-06-30 00:00:00,infl,2.745 
1976-06-30 00:00:00,unemp,5.066 
1976-09-30 00:00:00,realgdp,2706.690 
1976-09-30 00:00:00,infl,2.636 
1976-09-30 00:00:00,unemp,5.759 
1976-12-31 00:00:00,realgdp,2731.419 
1976-12-31 00:00:00,infl,2.740 
1976-12-31 00:00:00,unemp,5.200 
1977-03-31 00:00:00,realgdp,2715.057 
1977-03-31 00:00:00,infl,2.913 
1977-03-31 00:00:00,unemp,5.394 
1977-06-30 00:00:00,realgdp,2768.783 
1977-06-30 00:00:00,infl,2.349 
1977-06-30 00:00:00,unemp,5.467 
1977-09-30 00:00:00,realgdp,2776.300 
1977-09-30 00:00:00,infl,2.063 
1977-09-30 00:00:00,unemp,5.937 
1977-12-31 00:00:00,realgdp,2775.968 
1977-12-31 00:00:00,infl,2.399 
1977-12-31 00:00:00,unemp,5.188 
1978-03-31 00:00:00,realgdp,2721.023 
1978-03-31 00:00:00,infl,2.203 
1978-03-31 00:00:00,unemp,5.716 
1978-06-30 00:00:00,realgdp,2734.067 
1978-06-30 00:00:00,infl,2.984 
1978-06-30 00:00:00,unemp,5.627 
1978-09-30 00:00:00,realgdp,2706.798 
1978-09-30 00:00:00,infl,2.137 
1978-09-30 00:00:00,unemp,5.619 
1978-12-31 00:00:00,realgdp,2739.888 
1978-12-31 00:00:00,infl,2.948 
1978-12-31 00:00:00,unemp,5.028 
1979-03-31 00:00:00,realgdp,2754.462 
1979-03-31 00:00:00,infl,2.306 
1979-03-31 00:00:00,unemp,5.392 
1979-06-30 00:00:00,realgdp,2721.113 
1979-06-30 00:00:00,infl,2.999 
1979-06-30 00:00:00,unemp,5.568 
1979-09-30 00:00:00,realgdp,2779.546 
1979-09-30 00:00:00,infl,2.721 
1979-09-30 00:00:00,unemp,5.382 
1979-12-31 00:00:00,realgdp,2730.791 
1979-12-31 00:00:00,infl,2.759 
1979-12-31 00:00:00,unemp,5.298 
1980-03-31 00:00:00,realgdp,2724.741 
1980-03-31 00:00:00,infl,2.871 
1980-03-31 00:00:00,unemp,5.168 
1980-06-30 00:00:00,realgdp,2795.272 
1980-06-30 00:00:00,infl,2.052 
1980-06-30 00:00:00,unemp,5.726 
1980-09-30 00:00:00,realgdp,2745.207 
1980-09-30 00:00:00,infl,2.973 
1980-09-30 00:00:00,unemp,5.820 
1980-12-31 00:00:00,realgdp,2783.324 
1980-12-31 00:00:00,infl,2.123 
1980-12-31 00:00:00,unemp,5.012 
1981-03-31 00:00:00,realgdp,2704.624 
1981-03-31 00:00:00,infl,2.354 
1981-03-31 00:00:00,unemp,5.532 
1981-06-30 00:00:00,realgdp,2792.756 
1981-06-30 00:00:00,infl,2.695 
1981-06-30 00:00:00,unemp,5.247 
1981-09-30 00:00:00,realgdp,2780.343 
1981-09-30 00:00:00,infl,2.717 
1981-09-30 00:00:00,unemp,5.764 
1981-12-31 00:00:00,realgdp,2793.645 
1981-12-31 00:00:00,infl,2.573 
1981-12-31 00:00:00,unemp,5.419 
1982-03-31 00:00:00,realgdp,2762.585 
1982-03-31 00:00:00,infl,2.387 
1982-03-31 00:00:00,unemp,5.410 
1982-06-30 00:00:00,realgdp,2724.929 
1982-06-30 00:00:00,infl,2.604 
1982-06-30 00:00:00,unemp,5.156 
1982-09-30 00:00:00,realgdp,2722.876 
1982-09-30 00:00:00,infl,2.155 
1982-09-30 00:00:00,unemp,5.536 
1982-12-31 00:00:00,realgdp,2711.740 
1982-12-31 00:00:00,infl,2.032 
1982-12-31 00:00:00,unemp,5.782 
1983-03-31 00:00:00,realgdp,2760.844 
1983-03-31 00:00:00,infl,2.942 
1983-03-31 00:00:00,unemp,5.528 
1983-06-30 00:00:00,realgdp,2796.444 
1983-06-30 00:00:00,infl,2.309 
1983-06-30 00:00:00,unemp,5.257 
1983-09-30 00:00:00,realgdp,2790.047 
1983-09-30 00:00:00,infl,2.701 
1983-09-30 00:00:00,unemp,5.249 
1983-12-31 00:00:00,realgdp,2789.635 
1983-12-31 00:00:00,infl,2.391 
1983-12-31 00:00:00,unemp,5.093 
1984-03-31 00:00:00,realgdp,2745.784 
1984-03-31 00:00:00,infl,2.267 
1984-03-31 00:00:00,unemp,5.304 
1984-06-30 00:00:00,realgdp,2705.549 
1984-06-30 00:00:00,infl,2.410 
1984-06-30 00:00:00,unemp,5.171 
1984-09-30 00:00:00,realgdp,2733.941 
1984-09-30 00:00:00,infl,2.598 
1984-09-30 00:00:00,unemp,5.473 
1984-12-31 00:00:00,realgdp,2729.158 
1984-12-31 00:00:00,infl,2.602 
1984-12-31 00:00:00,unemp,5.366 
1985-03-31 00:00:00,realgdp,2788.836 
1985-03-31 00:00:00,infl,2.362 
1985-03-31 00:00:00,unemp,5.946 
1985-06-30 00:00:00,realgdp,2718.577 
1985-06-30 00:00:00,infl,2.358 
1985-06-30 00:00:00,unemp,5.483 
1985-09-30 00:00:00,realgdp,2715.360 
1985-09-30 00:00:00,infl,2.421 
1985-09-30 00:00:00,unemp,5.484 
1985-12-31 00:00:00,realgdp,2790.713 
1985-12-31 00:00:00,infl,2.094 
1985-12-31 00:00:00,unemp,5.406 
1986-03-31 00:00:00,realgdp,2727.814 
1986-03-31 00:00:00,infl,2.011 
1986-03-31 00:00:00,unemp,5.074 
1986-06-30 00:00:00,realgdp,2709.051 
1986-06-30 00:00:00,infl,2.609 
1986-06-30 00:00:00,unemp,5.965 
1986-09-30 00:00:00,realgdp,2738.470 
1986-09-30 00:00:00,infl,2.669 
1986-09-30 00:00:00,unemp,5.238 
1986-12-31 00:00:00,realgdp,2792.545 
1986-12-31 00:00:00,infl,2.689 
1986-12-31 00:00:00,unemp,5.817 
1987-03-31 00:00:00,realgdp,2721.175 
1987-03-31 00:00:00,infl,2.766 
1987-03-31 00:00:00,unemp,5.140 
1987-06-30 00:00:00,realgdp,2778.410 
1987-06-30 00:00:00,infl,2.390 
1987-06-30 00:00:00,unemp,5.321 
1987-09-30 00:00:00,realgdp,2732.773 
1987-09-30 00:00:00,infl,2.045 
1987-09-30 00:00:00,unemp,5.351 
1987-12-31 00:00:00,realgdp,2711.148 
1987-12-31 00:00:00,infl,2.994 
1987-12-31 00:00:00,unemp,5.634 
1988-03-31 00:00:00,realgdp,2713.824 
1988-03-31 00:00:00,infl,2.436 
1988-03-31 00:00:00,unemp,5.071 
1988-06-30 00:00:00,realgdp,2705.715 
1988-06-30 00:00:00,infl,2.719 
1988-06-30 00:00:00,unemp,5.913 
1988-09-30 00:00:00,realgdp,2744.814 
1988-09-30 00:00:00,infl,2.959 
1988-09-30 00:00:00,unemp,5.183 
1988-12-31 00:00:00,realgdp,2726.170 
1988-12-31 00:00:00,infl,2.154 
1988-12-31 00:00:00,unemp,5.270 
1989-03-31 00:00:00,realgdp,2758.058 
1989-03-31 00:00:00,infl,2.685 
1989-03-31 00:00:00,unemp,5.954 
1989-06-30 00:00:00,realgdp,2767.413 
1989-06-30 00:00:00,infl,2.410 
1989-06-30 00:00:00,unemp,5.062 
1989-09-30 00:00:00,realgdp,2701.285 
1989-09-30 00:00:00,infl,2.307 
1989-09-30 00:00:00,unemp,5.276 
1989-12-31 00:00:00,realgdp,2736.324 
1989-12-31 00:00:00,infl,2.862 
1989-12-31 00:00:00,unemp,5.562 
1990-03-31 00:00:00,realgdp,2778.233 
1990-03-31 00:00:00,infl,2.837 
1990-03-31 00:00:00,unemp,5.301 
1990-06-30 00:00:00,realgdp,2778.516 
1990-06-30 00:00:00,infl,2.581 
1990-06-30 00:00:00,unemp,5.963 
1990-09-30 00:00:00,realgdp,2756.712 
1990-09-30 00:00:00,infl,2.607 
1990-09-30 00:00:00,unemp,5.344 
1990-12-31 00:00:00,realgdp,2724.049 
1990-12-31 00:00:00,infl,2.825 
1990-12-31 00:00:00,unemp,5.240 
1991-03-31 00:00:00,realgdp,2781.566 
1991-03-31 00:00:00,infl,2.252 
1991-03-31 00:00:00,unemp,5.367 
1991-06-30 00:00:00,realgdp,2782.448 
1991-06-30 00:00:00,infl,2.453 
1991-06-30 00:00:00,unemp,5.347 
1991-09-30 00:00:00,realgdp,2741.705 
1991-09-30 00:00:00,infl,2.477 
1991-09-30 00:00:00,unemp,5.211 
1991-12-31 00:00:00,realgdp,2790.446 
1991-12-31 00:00:00,infl,2.261 
1991-12-31 00:00:00,unemp,5.156 
1992-03-31 00:00:00,realgdp,2794.193 
1992-03-31 00:00:00,infl,2.699 
1992-03-31 00:00:00,unemp,5.613 
1992-06-30 00:00:00,realgdp,2702.819 
1992-06-30 00:00:00,infl,2.115 
1992-06-30 00:00:00,unemp,5.397 
1992-09-30 00:00:00,realgdp,2773.420 
1992-09-30 00:00:00,infl,2.343 
1992-09-30 00:00:00,unemp,5.817 
1992-12-31 00:00:00,realgdp,2753.434 
1992-12-31 00:00:00,infl,2.994 
1992-12-31 00:00:00,unemp,5.185 
1993-03-31 00:00:00,realgdp,2770.940 
1993-03-31 00:00:00,infl,2.784 
1993-03-31 00:00:00,unemp,5.192 
1993-06-30 00:00:00,realgdp,2776.441 
1993-06-30 00:00:00,infl,2.599 
1993-06-30 00:00:00,unemp,5.748 
1993-09-30 00:00:00,realgdp,2787.645 
1993-09-30 00:00:00,infl,2.051 
1993-09-30 00:00:00,unemp,5.029 
1993-12-31 00:00:00,realgdp,2774.089 
1993-12-31 00:00:00,infl,2.498 
1993-12-31 00:00:00,unemp,5.696 
1994-03-31 00:00:00,realgdp,2764.503 
1994-03-31 00:00:00,infl,2.682 
1994-03-31 00:00:00,unemp,5.000 
1994-06-30 00:00:00,realgdp,2792.820 
1994-06-30 00:00:00,infl,2.500 
1994-06-30 00:00:00,unemp,5.429 
1994-09-30 00:00:00,realgdp,2728.991 
1994-09-30 00:00:00,infl,2.369 
1994-09-30 00:00:00,unemp,5.209 
1994-12-31 00:00:00,realgdp,2719.511 
1994-12-31 00:00:00,infl,2.836 
1994-12-31 00:00:00,unemp,5.008 
1995-03-31 00:00:00,realgdp,2734.302 
1995-03-31 00:00:00,infl,2.184 
1995-03-31 00:00:00,unemp,5.805 
1995-06-30 00:00:00,realgdp,2719.976 
1995-06-30 00:00:00,infl,2.812 
1995-06-30 00:00:00,unemp,5.541 
1995-09-30 00:00:00,realgdp,2703.702 
1995-09-30 00:00:00,infl,2.425 
1995-09-30 00:00:00,unemp,5.150 
1995-12-31 00:00:00,realgdp,2732.362 
1995-12-31 00:00:00,infl,2.046 
1995-12-31 00:00:00,unemp,5.692 
1996-03-31 00:00:00,realgdp,2704.893 
1996-03-31 00:00:00,infl,2.097 
1996-03-31 00:00:00,unemp,5.925 
1996-06-30 00:00:00,realgdp,2789.328 
1996-06-30 00:00:00,infl,2.671 
1996-06-30 00:00:00,unemp,5.225 
1996-09-30 00:00:00,realgdp,2730.970 
1996-09-30 00:00:00,infl,2.306 
1996-09-30 00:00:00,unemp,5.939 
1996-12-31 00:00:00,realgdp,2784.791 
1996-12-31 00:00:00,infl,2.812 
1996-12-31 00:00:00,unemp,5.144 
1997-03-31 00:00:00,realgdp,2745.941 
1997-03-31 00:00:00,infl,2.818 
1997-03-31 00:00:00,unemp,5.497 
1997-06-30 00:00:00,realgdp,2719.580 
1997-06-30 00:00:00,infl,2.768 
1997-06-30 00:00:00,unemp,5.775 
1997-09-30 00:00:00,realgdp,2789.903 
1997-09-30 00:00:00,infl,2.379 
1997-09-30 00:00:00,unemp,5.282 
1997-12-31 00:00:00,realgdp,2711.900 
1997-12-31 00:00:00,infl,2.513 
1997-12-31 00:00:00,unemp,5.200 
1998-03-31 00:00:00,realgdp,2767.646 
1998-03-31 00:00:00,infl,2.161 
1998-03-31 00:00:00,unemp,5.533 
1998-06-30 00:00:00,realgdp,2787.204 
1998-06-30 00:00:00,infl,2.115 
1998-06-30 00:00:00,unemp,5.218 
1998-09-30 00:00:00,realgdp,2799.202 
1998-09-30 00:00:00,infl,2.979 
1998-09-30 00:00:00,unemp,5.733 
1998-12-31 00:00:00,realgdp,2758.389 
1998-12-31 00:00:00,infl,2.115 
1998-12-31 00:00:00,unemp,5.991 
1999-03-31 00:00:00,realgdp,2771.186 
1999-03-31 00:00:00,infl,2.024 
1999-03-31 00:00:00,unemp,5.929 
1999-06-30 00:00:00,realgdp,2702.435 
1999-06-30 00:00:00,infl,2.591 
1999-06-30 00:00:00,unemp,5.123 
1999-09-30 00:00:00,realgdp,2714.210 
1999-09-30 00:00:00,infl,2.844 
1999-09-30 00:00:00,unemp,5.327 
1999-12-31 00:00:00,realgdp,2722.275 
1999-12-31 00:00:00,infl,2.640 
1999-12-31 00:00:00,unemp,5.547 
2000-03-31 00:00:00,realgdp,2792.987 
2000-03-31 00:00:00,infl,2.410 
2000-03-31 00:00:00,unemp,5.408 
2000-06-30 00:00:00,realgdp,2755.285 
2000-06-30 00:00:00,infl,2.128 
2000-06-30 00:00:00,unemp,5.571 
2000-09-30 00:00:00,realgdp,2783.430 
2000-09-30 00:00:00,infl,2.416 
2000-09-30 00:00:00,unemp,5.330 
2000-12-31 00:00:00,realgdp,2791.477 
2000-12-31 00:00:00,infl,2.700 
2000-12-31 00:00:00,unemp,5.101 
2001-03-31 00:00:00,realgdp,2725.521 
2001-03-31 00:00:00,infl,2.689 
2001-03-31 00:00:00,unemp,5.497 
2001-06-30 00:00:00,realgdp,2744.725 
2001-06-30 00:00:00,infl,2.353 
2001-06-30 00:00:00,unemp,5.384 
2001-09-30 00:00:00,realgdp,2740.135 
2001-09-30 00:00:00,infl,2.036 
2001-09-30 00:00:00,unemp,5.816 
2001-12-31 00:00:00,realgdp,2738.209 
2001-12-31 00:00:00,infl,2.985 
2001-12-31 00:00:00,unemp,5.144 
2002-03-31 00:00:00,realgdp,2780.663 
2002-03-31 00:00:00,infl,2.887 
2002-03-31 00:00:00,unemp,5.761 
2002-06-30 00:00:00,realgdp,2789.177 
2002-06-30 00:00:00,infl,2.561 
2002-06-30 00:00:00,unemp,5.153 
2002-09-30 00:00:00,realgdp,2752.425 
2002-09-30 00:00:00,infl,2.411 
2002-09-30 00:00:00,unemp,5.401 
2002-12-31 00:00:00,realgdp,2746.756 
2002-12-31 00:00:00,infl,2.194 
2002-12-31 00:00:00,unemp,5.111 
2003-03-31 00:00:00,realgdp,2723.141 
2003-03-31 00:00:00,infl,2.718 
2003-03-31 00:00:00,unemp,5.261 
2003-06-30 00:00:00,realgdp,2767.463 
2003-06-30 00:00:00,infl,2.831 
2003-06-30 00:00:00,unemp,5.250 
2003-09-30 00:00:00,realgdp,2712.952 
2003-09-30 00:00:00,infl,2.935 
2003-09-30 00:00:00,unemp,5.294 
2003-12-31 00:00:00,realgdp,2771.747 
2003-12-31 00:00:00,infl,2.286 
2003-12-31 00:00:00,unemp,5.702 
2004-03-31 00:00:00,realgdp,2758.132 
2004-03-31 00:00:00,infl,2.270 
2004-03-31 00:00:00,unemp,5.768 
2004-06-30 00:00:00,realgdp,2786.118 
2004-06-30 00:00:00,infl,2.070 
2004-06-30 00:00:00,unemp,5.500 
2004-09-30 00:00:00,realgdp,2729.808 
2004-09-30 00:00:00,infl,2.484 
2004-09-30 00:00:00,unemp,5.583 
2004-12-31 00:00:00,realgdp,2786.377 
2004-12-31 00:00:00,infl,2.609 
2004-12-31 00:00:00,unemp,5.245 
2005-03-31 00:00:00,realgdp,2730.580 
2005-03-31 00:00:00,infl,2.156 
2005-03-31 00:00:00,unemp,5.378 
2005-06-30 00:00:00,realgdp,2797.367 
2005-06-30 00:00:00,infl,2.002 
2005-06-30 00:00:00,unemp,5.159 
2005-09-30 00:00:00,realgdp,2772.792 
2005-09-30 00:00:00,infl,2.215 
2005-09-30 00:00:00,unemp,5.806 
2005-12-31 00:00:00,realgdp,2750.356 
2005-12-31 00:00:00,infl,2.226 
2005-12-31 00:00:00,unemp,5.497 
2006-03-31 00:00:00,realgdp,2798.207 
2006-03-31 00:00:00,infl,2.934 
2006-03-31 00:00:00,unemp,5.943 
2006-06-30 00:00:00,realgdp,2700.652 
2006-06-30 00:00:00,infl,2.765 
2006-06-30 00:00:00,unemp,5.967 
2006-09-30 00:00:00,realgdp,2758.730 
2006-09-30 00:00:00,infl,2.271 
2006-09-30 00:00:00,unemp,5.701 
2006-12-31 00:00:00,realgdp,2765.291 
2006-12-31 00:00:00,infl,2.553 
2006-12-31 00:00:00,unemp,5.629 
2007-03-31 00:00:00,realgdp,2716.307 
2007-03-31 00:00:00,infl,2.756 
2007-03-31 00:00:00,unemp,5.315 
2007-06-30 00:00:00,realgdp,2717.339 
2007-06-30 00:00:00,infl,2.287 
2007-06-30 00:00:00,unemp,5.336 
2007-09-30 00:00:00,realgdp,2744.973 
2007-09-30 00:00:00,infl,2.605 
2007-09-30 00:00:00,unemp,5.111 
2007-12-31 00:00:00,realgdp,2738.212 
2007-12-31 00:00:00,infl,2.441 
2007-12-31 00:00:00,unemp,5.388 
2008-03-31 00:00:00,realgdp,2718.321 
2008-03-31 00:00:00,infl,2.225 
2008-03-31 00:00:00,unemp,5.020 
2008-06-30 00:00:00,realgdp,2720.437 
2008-06-30 00:00:00,infl,2.801 
2008-06-30 00:00:00,unemp,5.980 
2008-09-30 00:00:00,realgdp,2749.514 
2008-09-30 00:00:00,infl,2.934 
2008-09-30 00:00:00,unemp,5.317 
2008-12-31 00:00:00,realgdp,2710.357 
2008-12-31 00:00:00,infl,2.441 
2008-12-31 00:00:00,unemp,5.212 
2009-03-31 00:00:00,realgdp,2786.326 
2009-03-31 00:00:00,infl,2.740 
2009-03-31 00:00:00,unemp,5.847 
2009-06-30 00:00:00,realgdp,2718.306 
2009-06-30 00:00:00,infl,2.869 
2009-06-30 00:00:00,unemp,5.288 
2009-09-30 00:00:00,realgdp,2799.301 
2009-09-30 00:00:00,infl,2.703 
2009-09-30 00:00:00,unemp,5.106 
2009-12-31 00:00:00,realgdp,2786.299 
2009-12-31 00:00:00,infl,2.275 
2009-12-31 00:00:00,unemp,5.441 
2010-03-31 00:00:00,realgdp,2780.244 
2010-03-31 00:00:00,infl,2.029 
2010-03-31 00:00:00,unemp,5.444 
2010-06-30 00:00:00,realgdp,2746.762 
2010-06-30 00:00:00,infl,2.833 
2010-06-30 00:00:00,unemp,5.145 
2010-09-30 00:00:00,realgdp,2798.082 
2010-09-30 00:00:00,infl,2.156 
2010-09-30 00:00:00,unemp,5.994 
2010-12-31 00:00:00,realgdp,2705.427 
2010-12-31 00:00:00,infl,2.678 
2010-12-31 00:00:00,unemp,5.636 
2011-03-31 00:00:00,realgdp,2741.028 
2011-03-31 00:00:00,infl,2.441 
