data	item	value		
1963-09-30 00:00:00	realgdp	2772.531 		
1963-09-30 00:00:00	infl	2.968 		
1963-09-30 00:00:00	unemp	5.174 		
1963-12-31 00:00:00	realgdp	2726.999 		
1963-12-31 00:00:00	infl	2.255 		
1963-12-31 00:00:00	unemp	5.589 		
1964-03-31 00:00:00	realgdp	2750.603 		
1964-03-31 00:00:00	infl	2.323 		
1964-03-31 00:00:00	unemp	5.464 		
1964-06-30 00:00:00	realgdp	2798.666 		
1964-06-30 00:00:00	infl	2.270 		
1964-06-30 00:00:00	unemp	5.300 		
1964-09-30 00:00:00	realgdp	2758.608 		
1964-09-30 00:00:00	infl	2.454 		
1964-09-30 00:00:00	unemp	5.704 		
1964-12-31 00:00:00	realgdp	2722.231 		
1964-12-31 00:00:00	infl	2.067 		
1964-12-31 00:00:00	unemp	5.110 		
1965-03-31 00:00:00	realgdp	2798.257 		
1965-03-31 00:00:00	infl	2.777 		
1965-03-31 00:00:00	unemp	5.179 		
1965-06-30 00:00:00	realgdp	2713.076 		
1965-06-30 00:00:00	infl	2.875 		
1965-06-30 00:00:00	unemp	5.922 		
1965-09-30 00:00:00	realgdp	2772.288 		
1965-09-30 00:00:00	infl	2.539 		
1965-09-30 00:00:00	unemp	5.767 		
1965-12-31 00:00:00	realgdp	2702.965 		
1965-12-31 00:00:00	infl	2.660 		
1965-12-31 00:00:00	unemp	5.755 		
1966-03-31 00:00:00	realgdp	2770.979 		
1966-03-31 00:00:00	infl	2.534 		
1966-03-31 00:00:00	unemp	5.472 		
1966-06-30 00:00:00	realgdp	2799.138 		
1966-06-30 00:00:00	infl	2.194 		
1966-06-30 00:00:00	unemp	5.422 		
1966-09-30 00:00:00	realgdp	2799.212 		
1966-09-30 00:00:00	infl	2.683 		
1966-09-30 00:00:00	unemp	5.102 		
1966-12-31 00:00:00	realgdp	2759.463 		
1966-12-31 00:00:00	infl	2.453 		
1966-12-31 00:00:00	unemp	5.024 		
1967-03-31 00:00:00	realgdp	2704.216 		
1967-03-31 00:00:00	infl	2.329 		
1967-03-31 00:00:00	unemp	5.460 		
1967-06-30 00:00:00	realgdp	2767.517 		
1967-06-30 00:00:00	infl	2.370 		
1967-06-30 00:00:00	unemp	5.201 		
1967-09-30 00:00:00	realgdp	2701.306 		
1967-09-30 00:00:00	infl	2.866 		
1967-09-30 00:00:00	unemp	5.309 		
1967-12-31 00:00:00	realgdp	2770.622 		
1967-12-31 00:00:00	infl	2.956 		
1967-12-31 00:00:00	unemp	5.446 		
1968-03-31 00:00:00	realgdp	2776.543 		
1968-03-31 00:00:00	infl	2.983 		
1968-03-31 00:00:00	unemp	5.614 		
1968-06-30 00:00:00	realgdp	2764.224 		
1968-06-30 00:00:00	infl	2.013 		
1968-06-30 00:00:00	unemp	5.934 		
1968-09-30 00:00:00	realgdp	2741.891 		
1968-09-30 00:00:00	infl	2.769 		
1968-09-30 00:00:00	unemp	5.417 		
1968-12-31 00:00:00	realgdp	2729.777 		
1968-12-31 00:00:00	infl	2.464 		
1968-12-31 00:00:00	unemp	5.541 		
1969-03-31 00:00:00	realgdp	2731.794 		
1969-03-31 00:00:00	infl	2.742 		
1969-03-31 00:00:00	unemp	5.655 		
1969-06-30 00:00:00	realgdp	2768.740 		
1969-06-30 00:00:00	infl	2.174 		
1969-06-30 00:00:00	unemp	5.054 		
1969-09-30 00:00:00	realgdp	2738.381 		
1969-09-30 00:00:00	infl	2.525 		
1969-09-30 00:00:00	unemp	5.561 		
1969-12-31 00:00:00	realgdp	2784.583 		
1969-12-31 00:00:00	infl	2.297 		
1969-12-31 00:00:00	unemp	5.351 		
1970-03-31 00:00:00	realgdp	2711.037 		
1970-03-31 00:00:00	infl	2.335 		
1970-03-31 00:00:00	unemp	5.184 		
1970-06-30 00:00:00	realgdp	2763.515 		
1970-06-30 00:00:00	infl	2.078 		
1970-06-30 00:00:00	unemp	5.475 		
1970-09-30 00:00:00	realgdp	2713.835 		
1970-09-30 00:00:00	infl	2.821 		
1970-09-30 00:00:00	unemp	5.681 		
1970-12-31 00:00:00	realgdp	2774.049 		
1970-12-31 00:00:00	infl	2.267 		
1970-12-31 00:00:00	unemp	5.875 		
1971-03-31 00:00:00	realgdp	2799.261 		
1971-03-31 00:00:00	infl	2.604 		
1971-03-31 00:00:00	unemp	5.171 		
1971-06-30 00:00:00	realgdp	2716.859 		
1971-06-30 00:00:00	infl	2.449 		
1971-06-30 00:00:00	unemp	5.958 		
1971-09-30 00:00:00	realgdp	2708.927 		
1971-09-30 00:00:00	infl	2.086 		
1971-09-30 00:00:00	unemp	5.080 		
1971-12-31 00:00:00	realgdp	2772.760 		
1971-12-31 00:00:00	infl	2.151 		
1971-12-31 00:00:00	unemp	5.491 		
1972-03-31 00:00:00	realgdp	2771.342 		
1972-03-31 00:00:00	infl	2.806 		
1972-03-31 00:00:00	unemp	5.707 		
1972-06-30 00:00:00	realgdp	2751.019 		
1972-06-30 00:00:00	infl	2.096 		
1972-06-30 00:00:00	unemp	5.467 		
1972-09-30 00:00:00	realgdp	2768.329 		
1972-09-30 00:00:00	infl	2.998 		
1972-09-30 00:00:00	unemp	5.287 		
1972-12-31 00:00:00	realgdp	2795.986 		
1972-12-31 00:00:00	infl	2.573 		
1972-12-31 00:00:00	unemp	5.092 		
1973-03-31 00:00:00	realgdp	2722.254 		
1973-03-31 00:00:00	infl	2.177 		
1973-03-31 00:00:00	unemp	5.073 		
1973-06-30 00:00:00	realgdp	2705.455 		
1973-06-30 00:00:00	infl	2.281 		
1973-06-30 00:00:00	unemp	5.182 		
1973-09-30 00:00:00	realgdp	2744.254 		
1973-09-30 00:00:00	infl	2.173 		
1973-09-30 00:00:00	unemp	5.531 		
1973-12-31 00:00:00	realgdp	2734.087 		
1973-12-31 00:00:00	infl	2.313 		
1973-12-31 00:00:00	unemp	5.551 		
1974-03-31 00:00:00	realgdp	2790.118 		
1974-03-31 00:00:00	infl	2.930 		
1974-03-31 00:00:00	unemp	5.891 		
1974-06-30 00:00:00	realgdp	2769.218 		
1974-06-30 00:00:00	infl	2.358 		
1974-06-30 00:00:00	unemp	5.670 		
1974-09-30 00:00:00	realgdp	2757.404 		
1974-09-30 00:00:00	infl	2.851 		
1974-09-30 00:00:00	unemp	5.044 		
1974-12-31 00:00:00	realgdp	2700.946 		
1974-12-31 00:00:00	infl	2.475 		
1974-12-31 00:00:00	unemp	5.306 		
1975-03-31 00:00:00	realgdp	2737.295 		
1975-03-31 00:00:00	infl	2.235 		
1975-03-31 00:00:00	unemp	5.667 		
1975-06-30 00:00:00	realgdp	2745.598 		
1975-06-30 00:00:00	infl	2.514 		
1975-06-30 00:00:00	unemp	5.379 		
1975-09-30 00:00:00	realgdp	2750.481 		
1975-09-30 00:00:00	infl	2.459 		
1975-09-30 00:00:00	unemp	5.470 		
1975-12-31 00:00:00	realgdp	2741.686 		
1975-12-31 00:00:00	infl	2.712 		
1975-12-31 00:00:00	unemp	5.500 		
1976-03-31 00:00:00	realgdp	2721.221 		
1976-03-31 00:00:00	infl	2.070 		
1976-03-31 00:00:00	unemp	5.804 		
1976-06-30 00:00:00	realgdp	2722.089 		
1976-06-30 00:00:00	infl	2.335 		
1976-06-30 00:00:00	unemp	5.302 		
1976-09-30 00:00:00	realgdp	2738.924 		
1976-09-30 00:00:00	infl	2.221 		
1976-09-30 00:00:00	unemp	5.242 		
1976-12-31 00:00:00	realgdp	2795.892 		
1976-12-31 00:00:00	infl	2.098 		
1976-12-31 00:00:00	unemp	5.504 		
1977-03-31 00:00:00	realgdp	2723.860 		
1977-03-31 00:00:00	infl	2.438 		
1977-03-31 00:00:00	unemp	5.571 		
1977-06-30 00:00:00	realgdp	2785.859 		
1977-06-30 00:00:00	infl	2.604 		
1977-06-30 00:00:00	unemp	5.168 		
1977-09-30 00:00:00	realgdp	2711.240 		
1977-09-30 00:00:00	infl	2.124 		
1977-09-30 00:00:00	unemp	5.047 		
1977-12-31 00:00:00	realgdp	2779.852 		
1977-12-31 00:00:00	infl	2.630 		
1977-12-31 00:00:00	unemp	5.000 		
1978-03-31 00:00:00	realgdp	2781.439 		
1978-03-31 00:00:00	infl	2.311 		
1978-03-31 00:00:00	unemp	5.440 		
1978-06-30 00:00:00	realgdp	2750.514 		
1978-06-30 00:00:00	infl	2.822 		
1978-06-30 00:00:00	unemp	5.581 		
1978-09-30 00:00:00	realgdp	2702.747 		
1978-09-30 00:00:00	infl	2.695 		
1978-09-30 00:00:00	unemp	5.755 		
1978-12-31 00:00:00	realgdp	2740.711 		
1978-12-31 00:00:00	infl	2.721 		
1978-12-31 00:00:00	unemp	5.066 		
1979-03-31 00:00:00	realgdp	2790.802 		
1979-03-31 00:00:00	infl	2.059 		
1979-03-31 00:00:00	unemp	5.436 		
1979-06-30 00:00:00	realgdp	2788.291 		
1979-06-30 00:00:00	infl	2.862 		
1979-06-30 00:00:00	unemp	5.147 		
1979-09-30 00:00:00	realgdp	2785.785 		
1979-09-30 00:00:00	infl	2.347 		
1979-09-30 00:00:00	unemp	5.449 		
1979-12-31 00:00:00	realgdp	2742.466 		
1979-12-31 00:00:00	infl	2.066 		
1979-12-31 00:00:00	unemp	5.148 		
1980-03-31 00:00:00	realgdp	2793.261 		
1980-03-31 00:00:00	infl	2.823 		
1980-03-31 00:00:00	unemp	5.726 		
1980-06-30 00:00:00	realgdp	2728.254 		
1980-06-30 00:00:00	infl	2.500 		
1980-06-30 00:00:00	unemp	5.712 		
1980-09-30 00:00:00	realgdp	2718.341 		
1980-09-30 00:00:00	infl	2.045 		
1980-09-30 00:00:00	unemp	5.632 		
1980-12-31 00:00:00	realgdp	2763.247 		
1980-12-31 00:00:00	infl	2.198 		
1980-12-31 00:00:00	unemp	5.264 		
1981-03-31 00:00:00	realgdp	2747.887 		
1981-03-31 00:00:00	infl	2.280 		
1981-03-31 00:00:00	unemp	5.992 		
1981-06-30 00:00:00	realgdp	2773.448 		
1981-06-30 00:00:00	infl	2.468 		
1981-06-30 00:00:00	unemp	5.122 		
1981-09-30 00:00:00	realgdp	2780.354 		
1981-09-30 00:00:00	infl	2.175 		
1981-09-30 00:00:00	unemp	5.102 		
1981-12-31 00:00:00	realgdp	2717.521 		
1981-12-31 00:00:00	infl	2.265 		
1981-12-31 00:00:00	unemp	5.334 		
1982-03-31 00:00:00	realgdp	2751.081 		
1982-03-31 00:00:00	infl	2.669 		
1982-03-31 00:00:00	unemp	5.929 		
1982-06-30 00:00:00	realgdp	2762.349 		
1982-06-30 00:00:00	infl	2.796 		
1982-06-30 00:00:00	unemp	5.496 		
1982-09-30 00:00:00	realgdp	2765.688 		
1982-09-30 00:00:00	infl	2.691 		
1982-09-30 00:00:00	unemp	5.617 		
1982-12-31 00:00:00	realgdp	2701.715 		
1982-12-31 00:00:00	infl	2.611 		
1982-12-31 00:00:00	unemp	5.344 		
1983-03-31 00:00:00	realgdp	2769.129 		
1983-03-31 00:00:00	infl	2.092 		
1983-03-31 00:00:00	unemp	5.805 		
1983-06-30 00:00:00	realgdp	2759.455 		
1983-06-30 00:00:00	infl	2.253 		
1983-06-30 00:00:00	unemp	5.287 		
1983-09-30 00:00:00	realgdp	2760.847 		
1983-09-30 00:00:00	infl	2.256 		
1983-09-30 00:00:00	unemp	5.745 		
1983-12-31 00:00:00	realgdp	2735.978 		
1983-12-31 00:00:00	infl	2.864 		
1983-12-31 00:00:00	unemp	5.848 		
1984-03-31 00:00:00	realgdp	2706.221 		
1984-03-31 00:00:00	infl	2.013 		
1984-03-31 00:00:00	unemp	5.929 		
1984-06-30 00:00:00	realgdp	2786.257 		
1984-06-30 00:00:00	infl	2.054 		
1984-06-30 00:00:00	unemp	5.910 		
1984-09-30 00:00:00	realgdp	2772.853 		
1984-09-30 00:00:00	infl	2.218 		
1984-09-30 00:00:00	unemp	5.153 		
1984-12-31 00:00:00	realgdp	2759.831 		
1984-12-31 00:00:00	infl	2.642 		
1984-12-31 00:00:00	unemp	5.252 		
1985-03-31 00:00:00	realgdp	2752.164 		
1985-03-31 00:00:00	infl	2.287 		
1985-03-31 00:00:00	unemp	5.727 		
1985-06-30 00:00:00	realgdp	2771.529 		
1985-06-30 00:00:00	infl	2.334 		
1985-06-30 00:00:00	unemp	5.837 		
1985-09-30 00:00:00	realgdp	2732.505 		
1985-09-30 00:00:00	infl	2.018 		
1985-09-30 00:00:00	unemp	5.083 		
1985-12-31 00:00:00	realgdp	2733.146 		
1985-12-31 00:00:00	infl	2.269 		
1985-12-31 00:00:00	unemp	5.162 		
1986-03-31 00:00:00	realgdp	2756.670 		
1986-03-31 00:00:00	infl	2.345 		
1986-03-31 00:00:00	unemp	5.785 		
1986-06-30 00:00:00	realgdp	2767.029 		
1986-06-30 00:00:00	infl	2.686 		
1986-06-30 00:00:00	unemp	5.052 		
1986-09-30 00:00:00	realgdp	2706.268 		
1986-09-30 00:00:00	infl	2.682 		
1986-09-30 00:00:00	unemp	5.559 		
1986-12-31 00:00:00	realgdp	2702.089 		
1986-12-31 00:00:00	infl	2.018 		
1986-12-31 00:00:00	unemp	5.463 		
1987-03-31 00:00:00	realgdp	2719.389 		
1987-03-31 00:00:00	infl	2.552 		
1987-03-31 00:00:00	unemp	5.394 		
1987-06-30 00:00:00	realgdp	2736.397 		
1987-06-30 00:00:00	infl	2.212 		
1987-06-30 00:00:00	unemp	5.628 		
1987-09-30 00:00:00	realgdp	2784.618 		
1987-09-30 00:00:00	infl	2.372 		
1987-09-30 00:00:00	unemp	5.663 		
1987-12-31 00:00:00	realgdp	2740.920 		
1987-12-31 00:00:00	infl	2.578 		
1987-12-31 00:00:00	unemp	5.577 		
1988-03-31 00:00:00	realgdp	2734.278 		
1988-03-31 00:00:00	infl	2.688 		
1988-03-31 00:00:00	unemp	5.500 		
1988-06-30 00:00:00	realgdp	2719.278 		
1988-06-30 00:00:00	infl	2.188 		
1988-06-30 00:00:00	unemp	5.639 		
1988-09-30 00:00:00	realgdp	2703.659 		
1988-09-30 00:00:00	infl	2.841 		
1988-09-30 00:00:00	unemp	5.040 		
1988-12-31 00:00:00	realgdp	2767.034 		
1988-12-31 00:00:00	infl	2.294 		
1988-12-31 00:00:00	unemp	5.913 		
1989-03-31 00:00:00	realgdp	2768.375 		
1989-03-31 00:00:00	infl	2.125 		
1989-03-31 00:00:00	unemp	5.821 		
1989-06-30 00:00:00	realgdp	2784.302 		
1989-06-30 00:00:00	infl	2.315 		
1989-06-30 00:00:00	unemp	5.557 		
1989-09-30 00:00:00	realgdp	2754.765 		
1989-09-30 00:00:00	infl	2.110 		
1989-09-30 00:00:00	unemp	5.943 		
1989-12-31 00:00:00	realgdp	2753.092 		
1989-12-31 00:00:00	infl	2.621 		
1989-12-31 00:00:00	unemp	5.018 		
1990-03-31 00:00:00	realgdp	2738.220 		
1990-03-31 00:00:00	infl	2.007 		
1990-03-31 00:00:00	unemp	5.484 		
1990-06-30 00:00:00	realgdp	2770.148 		
1990-06-30 00:00:00	infl	2.539 		
1990-06-30 00:00:00	unemp	5.898 		
1990-09-30 00:00:00	realgdp	2704.106 		
1990-09-30 00:00:00	infl	2.953 		
1990-09-30 00:00:00	unemp	5.997 		
1990-12-31 00:00:00	realgdp	2795.235 		
1990-12-31 00:00:00	infl	2.196 		
1990-12-31 00:00:00	unemp	5.637 		
1991-03-31 00:00:00	realgdp	2742.962 		
1991-03-31 00:00:00	infl	2.847 		
1991-03-31 00:00:00	unemp	5.760 		
1991-06-30 00:00:00	realgdp	2758.256 		
1991-06-30 00:00:00	infl	2.466 		
1991-06-30 00:00:00	unemp	5.415 		
1991-09-30 00:00:00	realgdp	2736.329 		
1991-09-30 00:00:00	infl	2.362 		
1991-09-30 00:00:00	unemp	5.411 		
1991-12-31 00:00:00	realgdp	2796.263 		
1991-12-31 00:00:00	infl	2.809 		
1991-12-31 00:00:00	unemp	5.752 		
1992-03-31 00:00:00	realgdp	2712.850 		
1992-03-31 00:00:00	infl	2.014 		
1992-03-31 00:00:00	unemp	5.250 		
1992-06-30 00:00:00	realgdp	2791.602 		
1992-06-30 00:00:00	infl	2.390 		
1992-06-30 00:00:00	unemp	5.761 		
1992-09-30 00:00:00	realgdp	2701.302 		
1992-09-30 00:00:00	infl	2.773 		
1992-09-30 00:00:00	unemp	5.493 		
1992-12-31 00:00:00	realgdp	2750.132 		
1992-12-31 00:00:00	infl	2.198 		
1992-12-31 00:00:00	unemp	5.334 		
1993-03-31 00:00:00	realgdp	2762.043 		
1993-03-31 00:00:00	infl	2.577 		
1993-03-31 00:00:00	unemp	5.268 		
1993-06-30 00:00:00	realgdp	2767.526 		
1993-06-30 00:00:00	infl	2.620 		
1993-06-30 00:00:00	unemp	5.037 		
1993-09-30 00:00:00	realgdp	2730.565 		
1993-09-30 00:00:00	infl	2.928 		
1993-09-30 00:00:00	unemp	5.392 		
1993-12-31 00:00:00	realgdp	2776.652 		
1993-12-31 00:00:00	infl	2.299 		
1993-12-31 00:00:00	unemp	5.438 		
1994-03-31 00:00:00	realgdp	2768.323 		
1994-03-31 00:00:00	infl	2.988 		
1994-03-31 00:00:00	unemp	5.204 		
1994-06-30 00:00:00	realgdp	2707.848 		
1994-06-30 00:00:00	infl	2.001 		
1994-06-30 00:00:00	unemp	5.340 		
1994-09-30 00:00:00	realgdp	2799.565 		
1994-09-30 00:00:00	infl	2.377 		
1994-09-30 00:00:00	unemp	5.806 		
1994-12-31 00:00:00	realgdp	2709.871 		
1994-12-31 00:00:00	infl	2.297 		
1994-12-31 00:00:00	unemp	5.354 		
1995-03-31 00:00:00	realgdp	2736.569 		
1995-03-31 00:00:00	infl	2.417 		
1995-03-31 00:00:00	unemp	5.649 		
1995-06-30 00:00:00	realgdp	2726.655 		
1995-06-30 00:00:00	infl	2.616 		
1995-06-30 00:00:00	unemp	5.058 		
1995-09-30 00:00:00	realgdp	2734.063 		
1995-09-30 00:00:00	infl	2.905 		
1995-09-30 00:00:00	unemp	5.635 		
1995-12-31 00:00:00	realgdp	2716.132 		
1995-12-31 00:00:00	infl	2.345 		
1995-12-31 00:00:00	unemp	5.020 		
1996-03-31 00:00:00	realgdp	2784.506 		
1996-03-31 00:00:00	infl	2.055 		
1996-03-31 00:00:00	unemp	5.713 		
1996-06-30 00:00:00	realgdp	2706.348 		
1996-06-30 00:00:00	infl	2.947 		
1996-06-30 00:00:00	unemp	5.419 		
1996-09-30 00:00:00	realgdp	2778.252 		
1996-09-30 00:00:00	infl	2.354 		
1996-09-30 00:00:00	unemp	6.000 		
1996-12-31 00:00:00	realgdp	2700.024 		
1996-12-31 00:00:00	infl	2.227 		
1996-12-31 00:00:00	unemp	5.826 		
1997-03-31 00:00:00	realgdp	2786.645 		
1997-03-31 00:00:00	infl	2.914 		
1997-03-31 00:00:00	unemp	5.069 		
1997-06-30 00:00:00	realgdp	2752.278 		
1997-06-30 00:00:00	infl	2.415 		
1997-06-30 00:00:00	unemp	5.222 		
1997-09-30 00:00:00	realgdp	2705.180 		
1997-09-30 00:00:00	infl	2.637 		
1997-09-30 00:00:00	unemp	5.332 		
1997-12-31 00:00:00	realgdp	2721.878 		
1997-12-31 00:00:00	infl	2.471 		
1997-12-31 00:00:00	unemp	5.900 		
1998-03-31 00:00:00	realgdp	2766.455 		
1998-03-31 00:00:00	infl	2.176 		
1998-03-31 00:00:00	unemp	5.441 		
1998-06-30 00:00:00	realgdp	2740.651 		
1998-06-30 00:00:00	infl	2.904 		
1998-06-30 00:00:00	unemp	5.444 		
1998-09-30 00:00:00	realgdp	2768.413 		
1998-09-30 00:00:00	infl	2.767 		
1998-09-30 00:00:00	unemp	5.146 		
1998-12-31 00:00:00	realgdp	2700.921 		
1998-12-31 00:00:00	infl	2.751 		
1998-12-31 00:00:00	unemp	5.007 		
1999-03-31 00:00:00	realgdp	2782.448 		
1999-03-31 00:00:00	infl	2.334 		
1999-03-31 00:00:00	unemp	5.835 		
1999-06-30 00:00:00	realgdp	2718.630 		
1999-06-30 00:00:00	infl	2.068 		
1999-06-30 00:00:00	unemp	5.912 		
1999-09-30 00:00:00	realgdp	2764.960 		
1999-09-30 00:00:00	infl	2.498 		
1999-09-30 00:00:00	unemp	5.138 		
1999-12-31 00:00:00	realgdp	2785.195 		
1999-12-31 00:00:00	infl	2.685 		
1999-12-31 00:00:00	unemp	5.124 		
2000-03-31 00:00:00	realgdp	2782.528 		
2000-03-31 00:00:00	infl	2.367 		
2000-03-31 00:00:00	unemp	5.057 		
2000-06-30 00:00:00	realgdp	2750.596 		
2000-06-30 00:00:00	infl	2.986 		
2000-06-30 00:00:00	unemp	5.515 		
2000-09-30 00:00:00	realgdp	2709.331 		
2000-09-30 00:00:00	infl	2.427 		
2000-09-30 00:00:00	unemp	5.651 		
2000-12-31 00:00:00	realgdp	2714.407 		
2000-12-31 00:00:00	infl	2.340 		
2000-12-31 00:00:00	unemp	5.442 		
2001-03-31 00:00:00	realgdp	2708.790 		
2001-03-31 00:00:00	infl	2.304 		
2001-03-31 00:00:00	unemp	5.463 		
2001-06-30 00:00:00	realgdp	2716.110 		
2001-06-30 00:00:00	infl	2.142 		
2001-06-30 00:00:00	unemp	5.010 		
2001-09-30 00:00:00	realgdp	2705.379 		
2001-09-30 00:00:00	infl	2.529 		
2001-09-30 00:00:00	unemp	5.909 		
2001-12-31 00:00:00	realgdp	2751.158 		
2001-12-31 00:00:00	infl	2.560 		
2001-12-31 00:00:00	unemp	5.420 		
2002-03-31 00:00:00	realgdp	2747.962 		
2002-03-31 00:00:00	infl	2.778 		
2002-03-31 00:00:00	unemp	5.896 		
2002-06-30 00:00:00	realgdp	2718.352 		
2002-06-30 00:00:00	infl	2.745 		
2002-06-30 00:00:00	unemp	5.357 		
2002-09-30 00:00:00	realgdp	2700.443 		
2002-09-30 00:00:00	infl	2.686 		
2002-09-30 00:00:00	unemp	5.124 		
2002-12-31 00:00:00	realgdp	2728.814 		
2002-12-31 00:00:00	infl	2.955 		
2002-12-31 00:00:00	unemp	5.423 		
2003-03-31 00:00:00	realgdp	2779.216 		
2003-03-31 00:00:00	infl	2.720 		
2003-03-31 00:00:00	unemp	5.064 		
2003-06-30 00:00:00	realgdp	2747.174 		
2003-06-30 00:00:00	infl	2.257 		
2003-06-30 00:00:00	unemp	5.385 		
2003-09-30 00:00:00	realgdp	2776.335 		
2003-09-30 00:00:00	infl	2.852 		
2003-09-30 00:00:00	unemp	5.389 		
2003-12-31 00:00:00	realgdp	2727.318 		
2003-12-31 00:00:00	infl	2.433 		
2003-12-31 00:00:00	unemp	5.574 		
2004-03-31 00:00:00	realgdp	2730.455 		
2004-03-31 00:00:00	infl	2.703 		
2004-03-31 00:00:00	unemp	5.900 		
2004-06-30 00:00:00	realgdp	2711.816 		
2004-06-30 00:00:00	infl	2.889 		
2004-06-30 00:00:00	unemp	5.078 		
2004-09-30 00:00:00	realgdp	2778.667 		
2004-09-30 00:00:00	infl	2.515 		
2004-09-30 00:00:00	unemp	5.582 		
2004-12-31 00:00:00	realgdp	2769.632 		
2004-12-31 00:00:00	infl	2.587 		
2004-12-31 00:00:00	unemp	5.931 		
2005-03-31 00:00:00	realgdp	2751.277 		
2005-03-31 00:00:00	infl	2.784 		
2005-03-31 00:00:00	unemp	5.292 		
2005-06-30 00:00:00	realgdp	2790.326 		
2005-06-30 00:00:00	infl	2.569 		
2005-06-30 00:00:00	unemp	5.524 		
2005-09-30 00:00:00	realgdp	2704.169 		
2005-09-30 00:00:00	infl	2.108 		
2005-09-30 00:00:00	unemp	5.706 		
2005-12-31 00:00:00	realgdp	2737.425 		
2005-12-31 00:00:00	infl	2.812 		
2005-12-31 00:00:00	unemp	5.112 		
2006-03-31 00:00:00	realgdp	2748.886 		
2006-03-31 00:00:00	infl	2.988 		
2006-03-31 00:00:00	unemp	5.993 		
2006-06-30 00:00:00	realgdp	2732.484 		
2006-06-30 00:00:00	infl	2.200 		
2006-06-30 00:00:00	unemp	5.911 		
2006-09-30 00:00:00	realgdp	2731.072 		
2006-09-30 00:00:00	infl	2.448 		
2006-09-30 00:00:00	unemp	5.286 		
2006-12-31 00:00:00	realgdp	2784.333 		
2006-12-31 00:00:00	infl	2.445 		
2006-12-31 00:00:00	unemp	5.326 		
2007-03-31 00:00:00	realgdp	2728.028 		
2007-03-31 00:00:00	infl	2.435 		
2007-03-31 00:00:00	unemp	5.601 		
2007-06-30 00:00:00	realgdp	2751.141 		
2007-06-30 00:00:00	infl	2.899 		
2007-06-30 00:00:00	unemp	5.583 		
2007-09-30 00:00:00	realgdp	2712.455 		
2007-09-30 00:00:00	infl	2.869 		
2007-09-30 00:00:00	unemp	5.342 		
2007-12-31 00:00:00	realgdp	2781.098 		
2007-12-31 00:00:00	infl	2.036 		
2007-12-31 00:00:00	unemp	5.911 		
2008-03-31 00:00:00	realgdp	2790.300 		
2008-03-31 00:00:00	infl	2.483 		
2008-03-31 00:00:00	unemp	5.401 		
2008-06-30 00:00:00	realgdp	2780.065 		
2008-06-30 00:00:00	infl	2.026 		
2008-06-30 00:00:00	unemp	5.697 		
2008-09-30 00:00:00	realgdp	2737.305 		
2008-09-30 00:00:00	infl	2.972 		
2008-09-30 00:00:00	unemp	5.423 		
2008-12-31 00:00:00	realgdp	2792.448 		
2008-12-31 00:00:00	infl	2.317 		
